Key	Value
看天花板	Looking At The Ceiling
神修在心境为“灵”时，心境已然圆满，将持续上升，不收任何外部条件影响。	When the mental state is 'spiritual', it will be fulfilled and raised at a steady pace, not affected by outside factors.
秘籍内容:\n	Manual Contents:\n
营养	Nu.
拍照模式。	Camera.
门派弟子数量达到上限:{0}。\n你可以扩大门派规模或者将其他弟子踢出门派。	The number of disciples has reached the cap: {0}.\nYou can increase the size of your sect or kick another disciple.
{0}的{1}	{0}'s {1}
当前仍有未保存的阵图，是否保存	The plan has not been saved. Do you want to save it?
当前未保存的进度将会丢失，确定要读取存档{0}吗？	You will lose all unsaved progress. Are you sure you want to load saved game {0}?
{0}阶-{1}阶	Tier {0}-{1}
一本神秘秘籍	A mysterious manual
获取存档信息失败！请检查存档文件是否正常，或者另存为新存档！	Save loading failed! Please check your save file or save as a new one.
\n分类:{0}	\nCategory: {0}
秘宝认主	Claim Legacy Artifact
[color=#880000](游戏版本过低:{0})[/color]	[color=#880000](Game version too old: {0})[/color]
筑基值：{0}\n	Foundation: {0}\n
女	Female
随机鲜花	Randomize Flowers
粮食储备	Food Storage
已经有重复的标签。	Duplicate labels
{2}\n灵气值：{0:N0}/{1:N0}\n法宝在空闲时，或灵气耗完后会从角色身上吸取灵气。	{2}\nQi: {0:N0}/{1:N0}\nWhen an artifact is idle or has used up its Qi, it will absorb Qi from the character.
昵称中无法包含字母、数字或者英文符号，请重试	Nicknames cannot contain letters, numbers, or English symbols. Please try again.
{0}天	{0}d
已激活所有扩展内容!\n谢谢大爷!	All DLC content has been activated. Thank you, master!
湖仙钓者	Lake Fairy Catcher
被夺舍	Become Possessed
点击执行发布装备命令。	Press the button to post an equip command.
采集或者历练	Gather or adventure
\n季节不适	\nUnsuitable Season
将一个镇物鉴定	Identify a Relic.
赠送以完成任务	Send gifts to complete tasks
洞天	Heavenly Abode
在移除工作之时，正感觉有点无聊	Removing something; feels a bit bored
万界天宫	Realms Palace
神名	Divine Title
变身成人形态	Shapeshift into human form
没有空闲中的工作台	No Work stations available
成功率:{0} 灵气:{1} 心境:{2}	Success Rate: {0} Qi: {1} Mental State: {2}
友好	Friend
移除	Remove
{0}阶	Tier {0}
提示	Tip
收养	Adopt
观察	Observing
昏迷	Unconscious
关闭	Close
影响角色灵气抵挡伤害的能力。	(Protection) Affects a character's ability to defend themself against damage using Qi.
取消放置	Cancel Placement
修行	Practice
聆听	Listen
（需要激活{0}才能挑战）	(Availble after {0} is enabled)
其他	Misc
正无所事事的消磨着时光	Messing around to kill some time
无上大法	Supreme Law
收藏	Collection
请确认建造！	Please confirm building!
循环十次	Loop 10x
犹豫不决	Hesitant
庙	Shrine
defName=>{0} {1}_effect.sParam2 配置为空,应该配置物品名字！	defName=>{0} {1}_effect.sParam2 is empty, should configure item name!
受到天道异动的影响，无法禁足通灵物!	Due to the disturbance in the Heavenly Dao, it is impossible to Freeze spiritual beings!
{1}\n读取中...{0}	{1}\nLoading...{0}
拆除	Demolish
点击打开角色健康面板	Click to open the Health menu.
在布施类事件中可收获影响值，在其他事件中也会有作用。	Gains influence during charity events. Also effective in other events.
隋	Sui
消耗25点香火值，赐予神国期及修行者一名护法。	Costs 25 faith to grant a guard to the Divine Realm and the cultivator.
角色受上天眷顾的程度，影响角色概率相关的属性。	Luck (LUK): Seberapa besar karakter disukai oleh Surga. Memengaruhi statistik yang berkaitan dengan peluang.
从井里打水。	Draw water from the well.
最后一轮竞拍	The Last Round!
晋升内门	Promote
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	Keeps making mistakes while demolishing buildings and almost got hurt; feels angry about it
凡俗之法	Worldly Law
修炼	Cultivation
弟子遵命！	Yes, Master!
{0}正在发挥药效	{0}Medicine taking effect
刚结束今天的筑基功课	Just finished today's foundation training
人心叵测	Distrusting
初始化游戏数据失败，游戏将不能正常运行。请检查数据完整性和确认模组数据正确。\n依然要进入吗？	Failed to initialize game data. The game will not be able to run properly. Please verify the integrity of game files and make sure your mod data is correct. \nDo you still want to continue?
冲煞之所	Ominous
击退强度 : {0:P0}	Knockback Power: {0:P0}
走路	Walking
打开存档:{0}结果为:{1}	Opening Save File: {0} Result: {1}
照顾	Caretaker
精元	Stamina
[color=#ff0000]拖动框选范围[/color]	[color=#ff0000]Drag the select area[/color]
游戏有版本更新{0}	New version available {0}
购买（{0}元）	Purchase ({0})
攻击	Attack
灵宠会优先食用低优先级的食物	Pets will eat food with low Priority first.
男	Male
金属	Metal
烹饪	Cooking
请先选择目标!	Please select a target firstly!
{0}{1:F0}  {2}等级(提高上限)\n	{0}{1:F0}  {2}Level (Increased Cap)
正心不在焉的制药作业中	Making medicine absent-mindedly
任意元神期的修行者都可以将某些内门特质通过元神寄托赋予装备。	Any cultivator with the Primordial Spirit can attach certain aspects of cultivational properties to their equipment via the Spirit.
内丹灵气容量:	Internal Core Qi Capacity:
撰写内容	Write Content
五行：相同\n	Five Elements: Equivalent\n
可以预见，你对此人的劝化如[color=#ffa900]当头棒喝[/color]，直入其内心深处	Your persuasion is going to be [color=#ffa900]a wake-up call[/color] to this person, resonating with them.
正在专心的照顾他人	Concentrates on caring for someone
[简介]\r\n	[Intro]\r\n
历练故事	Adventure Story
耗时：{0:N2}天	Take time: {0:N2} days
一个区域	One Area
(等待安装)	(Installing)
\n寿元：{0:N0}({1:N0})	\nLifespan: {0:N0} ({1:N0})
{0}营养：{1:N0}\n营养上限：100\n营养越高，对应的属性成长越快，消耗也越多，通过不同的饮食习惯来影响当前营养。	{0} Nutrition: {1:N0}\nNutrition cap: 100\nThe higher the nutrition, the faster the corresponding stats grow and the more it consumes. You can affect the current nutrition with different dietary habits.
系统回调	System Callback
弥留({0:N0}秒)	Dying ({0:N0} sec)
在修理建筑之时，正感觉有点无聊	Repairing buildings; feels a bit bored
敲响警钟,外门弟子会聚集到周围。	Toll the bell, and outer disciples will gather around.
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404]Related work:[/color]\nChopping firewood\nCarrying firewood\nChopping trees\nHarvesting plants
确定删除以下背景故事吗？\n\n{0}	Do you want to delete the following background? \n\n{0}
拥有者:{0}	Owner: {0}
祠	Pantheon
是否确定凝取灵石，这将触发一场战斗。	Sure to Collect Spirit Stones? This will trigger a fight.
拉屎	Excreting
<font color=#FF0000>(生食)</font>\n	<font color=#FF0000>(Raw)</font>\n
确定要删除存档{0}吗？这将不可逆转。	Are you sure you want to delete {0}? Deletion is irreversible.
{0}: {1:F2}/秒\n	{0}: {1:F2}/sec\n
前往:目标点	Go to: Target Area
请选择一个可以灵淬的物品	Select an item for spiritual refinement.
{0}心防无法瓦解(冷漠)	{0} will not open up (withdrawn).
{0}之镇派法宝，乃是前代派中高人的贴身法器。但自从百年前便被封印，再无人启用，似乎在等待着什么。	{0}'s most valued heirloom. It was the weapon of their greatest master, but it was sealed away hundreds of years ago and has gone unused for generations. It seems to be waiting for something, or someone.
刷新设置	Refresh Settings
新建选项节点	Create New Options
影响角色施展咒法的能力。	Affects a character's ability to cast spells.
特效数据	Special Effects Data
<font color=#D06508>[通灵]</font>\n	<font color=#D06508>[Illuminate]</font>\n
无法选择该物品	Cannot select this item.
时年 {0:N0}岁	Age {0:N0} y/o.
